2025-05-27 12:42:28.123 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - Starting GameRepositoryAdapterIT using Java 21.0.6 with PID 18680 (started by rubenhernandez in C:\Users\rubenhernandez\workspace\formacion\videogame-platform\services\game-service)
2025-05-27 12:42:28.123 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - No active profile set, falling back to 1 default profile: "default"
2025-05-27 12:42:30.822 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2025-05-27 12:42:30.853 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection org.postgresql.jdbc.PgConnection@fdb2e8b
2025-05-27 12:42:30.853 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2025-05-27 12:42:31.540 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:42:32.736 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - Started GameRepositoryAdapterIT in 4.793 seconds (process running for 96.832)
2025-05-27 12:42:32.970 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-27 12:42:32.970 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-27 12:42:32.986 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2025-05-27 12:42:32.986 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
